"Correlation id","Operation name","Status","Event category","Level","Time","Subscription","Event initiated by","Resource type","Resource group","Resource"
"bd32d88c-3138-43f2-b0bd-16645dd831bb","Create or Update Virtual Machine Scale Set","Succeeded","Administrative","Informational","2024-03-07T20:56:47.350Z","e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6","Windows Azure Application Insights","Microsoft.Compute/virtualMachineScaleSets","vmss-scaling14","/subscriptions/e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6/resourcegroups/vmss-scaling14/providers/Microsoft.Compute/virtualMachineScaleSets/scalingVmss"
"bd32d88c-3138-43f2-b0bd-16645dd831bb","Create or Update Virtual Machine Scale Set","Started","Administrative","Informational","2024-03-07T20:55:43.865Z","e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6","Windows Azure Application Insights","Microsoft.Compute/virtualMachineScaleSets","vmss-scaling14","/subscriptions/e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6/resourceGroups/vmss-scaling14/providers/Microsoft.Compute/virtualMachineScaleSets/scalingVmss"
"bd32d88c-3138-43f2-b0bd-16645dd831bb","'audit' Policy action.","Succeeded","Policy","Warning","2024-03-07T20:55:44.006Z","e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6","Windows Azure Application Insights","Microsoft.Compute/virtualMachineScaleSets","vmss-scaling14","/subscriptions/e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6/resourceGroups/vmss-scaling14/providers/Microsoft.Compute/virtualMachineScaleSets/scalingVmss"
"bd32d88c-3138-43f2-b0bd-16645dd831bb","'auditIfNotExists' Policy action.","Started","Policy","Informational","2024-03-07T20:55:47.757Z","e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6","Windows Azure Application Insights","Microsoft.Compute/virtualMachineScaleSets","vmss-scaling14","/subscriptions/e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6/resourceGroups/vmss-scaling14/providers/Microsoft.Compute/virtualMachineScaleSets/scalingVmss"
"bd32d88c-3138-43f2-b0bd-16645dd831bb","Create or Update Virtual Machine Scale Set","Accepted","Administrative","Informational","2024-03-07T20:55:47.850Z","e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6","Windows Azure Application Insights","Microsoft.Compute/virtualMachineScaleSets","vmss-scaling14","/subscriptions/e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6/resourceGroups/vmss-scaling14/providers/Microsoft.Compute/virtualMachineScaleSets/scalingVmss"
"a2cfe0f3-1bdb-40a8-9c00-bc11e867a145","Autoscale scale down initiated","Succeeded","Autoscale","Informational","2024-03-07T20:55:47.871Z","e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6","Microsoft.Insights/autoscaleSettings","MICROSOFT.COMPUTE/virtualmachinescalesets","VMSS-SCALING14","/SUBSCRIPTIONS/E7DC935A-7E69-4B70-90E9-4A4EB71D7CA6/RESOURCEGROUPS/VMSS-SCALING14/PROVIDERS/MICROSOFT.COMPUTE/VIRTUALMACHINESCALESETS/SCALINGVMSS"
"a2cfe0f3-1bdb-40a8-9c00-bc11e867a145","Autoscale scale down completed","Succeeded","Autoscale","Informational","2024-03-07T20:55:47.871Z","e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6","Microsoft.Insights/autoscaleSettings","MICROSOFT.COMPUTE/virtualmachinescalesets","VMSS-SCALING14","/SUBSCRIPTIONS/E7DC935A-7E69-4B70-90E9-4A4EB71D7CA6/RESOURCEGROUPS/VMSS-SCALING14/PROVIDERS/MICROSOFT.COMPUTE/VIRTUALMACHINESCALESETS/SCALINGVMSS"
"e2995d0e-5df0-4270-b213-2936966aa133","Create or Update Virtual Machine Scale Set","Succeeded","Administrative","Informational","2024-03-07T20:50:55.884Z","e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6","Windows Azure Application Insights","Microsoft.Compute/virtualMachineScaleSets","vmss-scaling14","/subscriptions/e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6/resourcegroups/vmss-scaling14/providers/Microsoft.Compute/virtualMachineScaleSets/scalingVmss"
"e2995d0e-5df0-4270-b213-2936966aa133","Create or Update Virtual Machine Scale Set","Started","Administrative","Informational","2024-03-07T20:50:14.525Z","e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6","Windows Azure Application Insights","Microsoft.Compute/virtualMachineScaleSets","vmss-scaling14","/subscriptions/e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6/resourceGroups/vmss-scaling14/providers/Microsoft.Compute/virtualMachineScaleSets/scalingVmss"
"e2995d0e-5df0-4270-b213-2936966aa133","'audit' Policy action.","Succeeded","Policy","Warning","2024-03-07T20:50:14.838Z","e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6","Windows Azure Application Insights","Microsoft.Compute/virtualMachineScaleSets","vmss-scaling14","/subscriptions/e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6/resourceGroups/vmss-scaling14/providers/Microsoft.Compute/virtualMachineScaleSets/scalingVmss"
"e2995d0e-5df0-4270-b213-2936966aa133","'auditIfNotExists' Policy action.","Started","Policy","Informational","2024-03-07T20:50:19.947Z","e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6","Windows Azure Application Insights","Microsoft.Compute/virtualMachineScaleSets","vmss-scaling14","/subscriptions/e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6/resourceGroups/vmss-scaling14/providers/Microsoft.Compute/virtualMachineScaleSets/scalingVmss"
"e2995d0e-5df0-4270-b213-2936966aa133","Create or Update Virtual Machine Scale Set","Accepted","Administrative","Informational","2024-03-07T20:50:19.979Z","e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6","Windows Azure Application Insights","Microsoft.Compute/virtualMachineScaleSets","vmss-scaling14","/subscriptions/e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6/resourceGroups/vmss-scaling14/providers/Microsoft.Compute/virtualMachineScaleSets/scalingVmss"
"48681d93-d1a2-4f2d-bb1a-c9c995de8c48","Autoscale scale down completed","Succeeded","Autoscale","Informational","2024-03-07T20:50:19.939Z","e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6","Microsoft.Insights/autoscaleSettings","MICROSOFT.COMPUTE/virtualmachinescalesets","VMSS-SCALING14","/SUBSCRIPTIONS/E7DC935A-7E69-4B70-90E9-4A4EB71D7CA6/RESOURCEGROUPS/VMSS-SCALING14/PROVIDERS/MICROSOFT.COMPUTE/VIRTUALMACHINESCALESETS/SCALINGVMSS"
"48681d93-d1a2-4f2d-bb1a-c9c995de8c48","Autoscale scale down initiated","Succeeded","Autoscale","Informational","2024-03-07T20:50:19.939Z","e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6","Microsoft.Insights/autoscaleSettings","MICROSOFT.COMPUTE/virtualmachinescalesets","VMSS-SCALING14","/SUBSCRIPTIONS/E7DC935A-7E69-4B70-90E9-4A4EB71D7CA6/RESOURCEGROUPS/VMSS-SCALING14/PROVIDERS/MICROSOFT.COMPUTE/VIRTUALMACHINESCALESETS/SCALINGVMSS"
"39a6dd56-61e0-431e-8830-08e2f0655ab5","Health Event Updated","Updated","Resource Health","Informational","2024-03-07T20:50:17.784Z","e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6","","MICROSOFT.COMPUTE/virtualmachinescalesets/virtualmachines","VMSS-SCALING14","/SUBSCRIPTIONS/E7DC935A-7E69-4B70-90E9-4A4EB71D7CA6/RESOURCEGROUPS/VMSS-SCALING14/PROVIDERS/MICROSOFT.COMPUTE/VIRTUALMACHINESCALESETS/SCALINGVMSS/VIRTUALMACHINES/0"
"39a6dd56-61e0-431e-8830-08e2f0655ab5","Health Event Updated","Updated","Resource Health","Informational","2024-03-07T20:22:21.492Z","e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6","","MICROSOFT.COMPUTE/virtualmachinescalesets/virtualmachines","VMSS-SCALING14","/SUBSCRIPTIONS/E7DC935A-7E69-4B70-90E9-4A4EB71D7CA6/RESOURCEGROUPS/VMSS-SCALING14/PROVIDERS/MICROSOFT.COMPUTE/VIRTUALMACHINESCALESETS/SCALINGVMSS/VIRTUALMACHINES/0"
"39a6dd56-61e0-431e-8830-08e2f0655ab5","Health Event Resolved","Resolved","Resource Health","Informational","2024-03-07T20:22:35.821Z","e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6","","MICROSOFT.COMPUTE/virtualmachinescalesets/virtualmachines","VMSS-SCALING14","/SUBSCRIPTIONS/E7DC935A-7E69-4B70-90E9-4A4EB71D7CA6/RESOURCEGROUPS/VMSS-SCALING14/PROVIDERS/MICROSOFT.COMPUTE/VIRTUALMACHINESCALESETS/SCALINGVMSS/VIRTUALMACHINES/0"
"39a6dd56-61e0-431e-8830-08e2f0655ab5","Health Event Updated","Updated","Resource Health","Informational","2024-03-07T20:22:54.555Z","e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6","","MICROSOFT.COMPUTE/virtualmachinescalesets/virtualmachines","VMSS-SCALING14","/SUBSCRIPTIONS/E7DC935A-7E69-4B70-90E9-4A4EB71D7CA6/RESOURCEGROUPS/VMSS-SCALING14/PROVIDERS/MICROSOFT.COMPUTE/VIRTUALMACHINESCALESETS/SCALINGVMSS/VIRTUALMACHINES/0"
"39a6dd56-61e0-431e-8830-08e2f0655ab5","Health Event Activated","Active","Resource Health","Informational","2024-03-07T20:22:55.272Z","e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6","","MICROSOFT.COMPUTE/virtualmachinescalesets/virtualmachines","VMSS-SCALING14","/SUBSCRIPTIONS/E7DC935A-7E69-4B70-90E9-4A4EB71D7CA6/RESOURCEGROUPS/VMSS-SCALING14/PROVIDERS/MICROSOFT.COMPUTE/VIRTUALMACHINESCALESETS/SCALINGVMSS/VIRTUALMACHINES/0"
"6841dfd4-15dd-478f-9da0-a52b49c57aaf","'audit' Policy action.","Succeeded","Policy","Warning","2024-03-07T20:47:50.301Z","e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6","Windows Azure Application Insights","Microsoft.Compute/virtualMachineScaleSets","vmss-scaling14","/subscriptions/e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6/resourceGroups/vmss-scaling14/providers/Microsoft.Compute/virtualMachineScaleSets/scalingVmss"
"6841dfd4-15dd-478f-9da0-a52b49c57aaf","Create or Update Virtual Machine Scale Set","Started","Administrative","Informational","2024-03-07T20:37:44.059Z","e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6","Windows Azure Application Insights","Microsoft.Compute/virtualMachineScaleSets","vmss-scaling14","/subscriptions/e7dc935a-7e69-4b70-90e9-4a4eb71d7ca6/resourceGroups/vmss-scaling14/providers/Microsoft.Compute/virtualMachineScaleSets/scalingVmss"
